#Please be aware that not every genome will have a gene in accessory groups
Homology group,Class,Genome number,Number of copies,Genome 1,Genome 10,Genome 11,Genome 12,Genome 13,Genome 14,Genome 15,Genome 16,Genome 2,Genome 3,Genome 4,Genome 5,Genome 6,Genome 7,Genome 8,Genome 9
859422,accessory,15,1,,,,,,,,,1,,,,,,,,
859422,accessory,16,1,,,,,,,,,1,,,,,,,,
859422,accessory,3,1,,,,,,,,,1,,,,,,,,
859422,accessory,4,1,,,,,,,,,1,,,,,,,,
859422,accessory,5,1,,,,,,,,,1,,,,,,,,
859422,accessory,6,1,,,,,,,,,1,,,,,,,,
859422,accessory,7,1,,,,,,,,,1,,,,,,,,
859422,accessory,8,1,,,,,,,,,1,,,,,,,,
859422,accessory,9,1,,,,,,,,,1,,,,,,,,
859424,core,1,4,,1,1,1,1,2,1,2,3,2,1,1,1,1,1,1,
859426,accessory,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,
859426,accessory,16,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,
859428,accessory,1,1,,,,,,,,,1,1,,,1,,,,
859428,accessory,10,1,,,,,,,,,1,1,,,1,,,,
859428,accessory,11,1,,,,,,,,,1,1,,,1,,,,
859428,accessory,12,1,,,,,,,,,1,1,,,1,,,,
859428,accessory,13,1,,,,,,,,,1,1,,,1,,,,
859428,accessory,14,1,,,,,,,,,1,1,,,1,,,,
859428,accessory,15,1,,,,,,,,,1,1,,,1,,,,
859428,accessory,16,1,,,,,,,,,1,1,,,1,,,,
859428,accessory,4,1,,,,,,,,,1,1,,,1,,,,
859428,accessory,5,1,,,,,,,,,1,1,,,1,,,,
859428,accessory,7,1,,,,,,,,,1,1,,,1,,,,
859428,accessory,8,1,,,,,,,,,1,1,,,1,,,,
859428,accessory,9,1,,,,,,,,,1,1,,,1,,,,
859429,core,4,2,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,
859429,core,9,2,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,
859430,accessory,1,1,,,1,1,1,,,,1,1,,1,1,,,,
859430,accessory,10,1,,,1,1,1,,,,1,1,,1,1,,,,
859430,accessory,14,1,,,1,1,1,,,,1,1,,1,1,,,,
859430,accessory,15,1,,,1,1,1,,,,1,1,,1,1,,,,
859430,accessory,16,1,,,1,1,1,,,,1,1,,1,1,,,,
859430,accessory,4,1,,,1,1,1,,,,1,1,,1,1,,,,
859430,accessory,7,1,,,1,1,1,,,,1,1,,1,1,,,,
859430,accessory,8,1,,,1,1,1,,,,1,1,,1,1,,,,
859430,accessory,9,1,,,1,1,1,,,,1,1,,1,1,,,,
859431,accessory,1,1,,1,1,1,,,1,,1,1,1,,,1,,1,
859431,accessory,13,1,,1,1,1,,,1,,1,1,1,,,1,,1,
859431,accessory,14,1,,1,1,1,,,1,,1,1,1,,,1,,1,
859431,accessory,16,1,,1,1,1,,,1,,1,1,1,,,1,,1,
859431,accessory,5,1,,1,1,1,,,1,,1,1,1,,,1,,1,
859431,accessory,6,1,,1,1,1,,,1,,1,1,1,,,1,,1,
859431,accessory,8,1,,1,1,1,,,1,,1,1,1,,,1,,1,
859432,accessory,11,1,1,1,,,,1,1,1,1,,1,,,1,1,1,
859432,accessory,12,1,1,1,,,,1,1,1,1,,1,,,1,1,1,
859432,accessory,13,1,1,1,,,,1,1,1,1,,1,,,1,1,1,
859432,accessory,3,1,1,1,,,,1,1,1,1,,1,,,1,1,1,
859432,accessory,5,1,1,1,,,,1,1,1,1,,1,,,1,1,1,
859432,accessory,6,1,1,1,,,,1,1,1,1,,1,,,1,1,1,
859433,core,1,4,,,,,,,,,2,,1,,,,,,
859433,core,10,4,,,,,,,,,2,,1,,,,,,
859433,core,11,4,,,,,,,,,2,,1,,,,,,
859433,core,12,4,,,,,,,,,2,,1,,,,,,
859433,core,13,4,,,,,,,,,2,,1,,,,,,
859433,core,14,4,,,,,,,,,2,,1,,,,,,
859433,core,15,4,,,,,,,,,2,,1,,,,,,
859433,core,16,4,,,,,,,,,2,,1,,,,,,
859433,core,3,4,,,,,,,,,2,,1,,,,,,
859433,core,5,4,,,,,,,,,2,,1,,,,,,
859433,core,6,4,,,,,,,,,2,,1,,,,,,
859433,core,7,4,,,,,,,,,2,,1,,,,,,
859433,core,8,4,,,,,,,,,2,,1,,,,,,
859433,core,9,4,,,,,,,,,2,,1,,,,,,
859434,accessory,12,3,2,1,1,,,1,,3,1,,,1,1,1,1,,
859434,accessory,13,3,2,1,1,,,1,,3,1,,,1,1,1,1,,
859434,accessory,15,3,2,1,1,,,1,,3,1,,,1,1,1,1,,
859434,accessory,3,3,2,1,1,,,1,,3,1,,,1,1,1,1,,
859434,accessory,4,3,2,1,1,,,1,,3,1,,,1,1,1,1,,
859434,accessory,9,3,2,1,1,,,1,,3,1,,,1,1,1,1,,
859435,accessory,11,1,1,1,,1,1,,1,1,1,1,1,,,,,1,
859435,accessory,14,1,1,1,,1,1,,1,1,1,1,1,,,,,1,
859435,accessory,5,1,1,1,,1,1,,1,1,1,1,1,,,,,1,
859435,accessory,6,1,1,1,,1,1,,1,1,1,1,1,,,,,1,
859435,accessory,7,1,1,1,,1,1,,1,1,1,1,1,,,,,1,
859435,accessory,8,1,1,1,,1,1,,1,1,1,1,1,,,,,1,
859436,accessory,1,1,,,1,1,1,1,1,,1,,,1,1,1,1,1,
859436,accessory,10,1,,,1,1,1,1,1,,1,,,1,1,1,1,1,
859436,accessory,16,1,,,1,1,1,1,1,,1,,,1,1,1,1,1,
859436,accessory,3,1,,,1,1,1,1,1,,1,,,1,1,1,1,1,
859436,accessory,4,1,,,1,1,1,1,1,,1,,,1,1,1,1,1,
859438,core,1,3,,,,,,,,1,1,,,,,,,,
859438,core,10,3,,,,,,,,1,1,,,,,,,,
859438,core,11,3,,,,,,,,1,1,,,,,,,,
859438,core,12,3,,,,,,,,1,1,,,,,,,,
859438,core,13,3,,,,,,,,1,1,,,,,,,,
859438,core,14,3,,,,,,,,1,1,,,,,,,,
859438,core,15,3,,,,,,,,1,1,,,,,,,,
859438,core,3,3,,,,,,,,1,1,,,,,,,,
859438,core,4,3,,,,,,,,1,1,,,,,,,,
859438,core,5,3,,,,,,,,1,1,,,,,,,,
859438,core,6,3,,,,,,,,1,1,,,,,,,,
859438,core,7,3,,,,,,,,1,1,,,,,,,,
859438,core,8,3,,,,,,,,1,1,,,,,,,,
859438,core,9,3,,,,,,,,1,1,,,,,,,,
859439,core,14,3,1,1,1,1,1,,1,1,2,1,1,1,1,1,1,1,
859440,accessory,13,3,2,3,2,3,,2,3,2,3,2,2,2,2,2,2,2,
859441,accessory,10,1,1,,1,,,,1,1,1,,,,,,,,
859441,accessory,12,1,1,,1,,,,1,1,1,,,,,,,,
859441,accessory,13,1,1,,1,,,,1,1,1,,,,,,,,
859441,accessory,14,1,1,,1,,,,1,1,1,,,,,,,,
859441,accessory,3,1,1,,1,,,,1,1,1,,,,,,,,
859441,accessory,4,1,1,,1,,,,1,1,1,,,,,,,,
859441,accessory,5,1,1,,1,,,,1,1,1,,,,,,,,
859441,accessory,6,1,1,,1,,,,1,1,1,,,,,,,,
859441,accessory,7,1,1,,1,,,,1,1,1,,,,,,,,
859441,accessory,8,1,1,,1,,,,1,1,1,,,,,,,,
859441,accessory,9,1,1,,1,,,,1,1,1,,,,,,,,
859442,accessory,10,1,1,,,1,,,1,1,1,,,1,,,1,1,
859442,accessory,11,1,1,,,1,,,1,1,1,,,1,,,1,1,
859442,accessory,13,1,1,,,1,,,1,1,1,,,1,,,1,1,
859442,accessory,14,1,1,,,1,,,1,1,1,,,1,,,1,1,
859442,accessory,3,1,1,,,1,,,1,1,1,,,1,,,1,1,
859442,accessory,4,1,1,,,1,,,1,1,1,,,1,,,1,1,
859442,accessory,6,1,1,,,1,,,1,1,1,,,1,,,1,1,
859442,accessory,7,1,1,,,1,,,1,1,1,,,1,,,1,1,
859443,accessory,1,1,,,1,,,,,1,1,1,1,1,,1,1,1,
859443,accessory,10,1,,,1,,,,,1,1,1,1,1,,1,1,1,
859443,accessory,12,1,,,1,,,,,1,1,1,1,1,,1,1,1,
859443,accessory,13,1,,,1,,,,,1,1,1,1,1,,1,1,1,
859443,accessory,14,1,,,1,,,,,1,1,1,1,1,,1,1,1,
859443,accessory,15,1,,,1,,,,,1,1,1,1,1,,1,1,1,
859443,accessory,6,1,,,1,,,,,1,1,1,1,1,,1,1,1,
859444,accessory,1,1,,,1,1,1,1,1,,1,,1,1,,1,1,,
859444,accessory,10,1,,,1,1,1,1,1,,1,,1,1,,1,1,,
859444,accessory,16,1,,,1,1,1,1,1,,1,,1,1,,1,1,,
859444,accessory,3,1,,,1,1,1,1,1,,1,,1,1,,1,1,,
859444,accessory,6,1,,,1,1,1,1,1,,1,,1,1,,1,1,,
859444,accessory,9,1,,,1,1,1,1,1,,1,,1,1,,1,1,,
859445,accessory,11,2,2,1,,2,2,2,1,2,2,2,2,2,1,2,2,2,
859446,accessory,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
859446,accessory,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
859446,accessory,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
859447,accessory,15,1,1,1,1,1,1,1,,1,1,1,1,,1,1,,1,
859447,accessory,5,1,1,1,1,1,1,1,,1,1,1,1,,1,1,,1,
859447,accessory,8,1,1,1,1,1,1,1,,1,1,1,1,,1,1,,1,
859448,accessory,3,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,,
859448,accessory,7,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,,
859448,accessory,9,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,,
859449,accessory,1,1,,1,1,1,1,1,1,,1,,1,1,1,1,1,1,
859449,accessory,16,1,,1,1,1,1,1,1,,1,,1,1,1,1,1,1,
859449,accessory,3,1,,1,1,1,1,1,1,,1,,1,1,1,1,1,1,
859450,accessory,16,1,1,1,1,1,1,1,1,,1,1,1,,,1,1,1,
859450,accessory,5,1,1,1,1,1,1,1,1,,1,1,1,,,1,1,1,
859450,accessory,6,1,1,1,1,1,1,1,1,,1,1,1,,,1,1,1,
859451,accessory,11,1,1,1,,1,1,1,1,1,1,1,1,1,,1,,1,
859451,accessory,6,1,1,1,,1,1,1,1,1,1,1,1,1,,1,,1,
859451,accessory,8,1,1,1,,1,1,1,1,1,1,1,1,1,,1,,1,
859452,accessory,11,1,1,1,,1,1,1,,,1,1,1,1,1,1,1,1,
859452,accessory,15,1,1,1,,1,1,1,,,1,1,1,1,1,1,1,1,
859452,accessory,16,1,1,1,,1,1,1,,,1,1,1,1,1,1,1,1,
859453,accessory,10,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,
859453,accessory,7,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,
859456,core,1,2,,,,,,,,,1,,,,,,,,
859456,core,10,2,,,,,,,,,1,,,,,,,,
859456,core,11,2,,,,,,,,,1,,,,,,,,
859456,core,12,2,,,,,,,,,1,,,,,,,,
859456,core,13,2,,,,,,,,,1,,,,,,,,
859456,core,14,2,,,,,,,,,1,,,,,,,,
859456,core,15,2,,,,,,,,,1,,,,,,,,
859456,core,16,2,,,,,,,,,1,,,,,,,,
859456,core,3,2,,,,,,,,,1,,,,,,,,
859456,core,4,2,,,,,,,,,1,,,,,,,,
859456,core,5,2,,,,,,,,,1,,,,,,,,
859456,core,6,2,,,,,,,,,1,,,,,,,,
859456,core,7,2,,,,,,,,,1,,,,,,,,
859456,core,8,2,,,,,,,,,1,,,,,,,,
859456,core,9,2,,,,,,,,,1,,,,,,,,
859457,core,3,2,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,
859458,core,2,2,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,
859459,core,1,2,,,,,,,,,1,,,,,,,,
859459,core,10,2,,,,,,,,,1,,,,,,,,
859459,core,11,2,,,,,,,,,1,,,,,,,,
859459,core,12,2,,,,,,,,,1,,,,,,,,
859459,core,13,2,,,,,,,,,1,,,,,,,,
859459,core,14,2,,,,,,,,,1,,,,,,,,
859459,core,15,2,,,,,,,,,1,,,,,,,,
859459,core,16,2,,,,,,,,,1,,,,,,,,
859459,core,3,2,,,,,,,,,1,,,,,,,,
859459,core,4,2,,,,,,,,,1,,,,,,,,
859459,core,5,2,,,,,,,,,1,,,,,,,,
859459,core,6,2,,,,,,,,,1,,,,,,,,
859459,core,7,2,,,,,,,,,1,,,,,,,,
859459,core,8,2,,,,,,,,,1,,,,,,,,
859459,core,9,2,,,,,,,,,1,,,,,,,,
859461,accessory,1,2,,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,
859463,core,1,2,,,,,,,,,1,,,,,,,,
859463,core,10,2,,,,,,,,,1,,,,,,,,
859463,core,11,2,,,,,,,,,1,,,,,,,,
859463,core,12,2,,,,,,,,,1,,,,,,,,
859463,core,13,2,,,,,,,,,1,,,,,,,,
859463,core,14,2,,,,,,,,,1,,,,,,,,
859463,core,15,2,,,,,,,,,1,,,,,,,,
859463,core,16,2,,,,,,,,,1,,,,,,,,
859463,core,3,2,,,,,,,,,1,,,,,,,,
859463,core,4,2,,,,,,,,,1,,,,,,,,
859463,core,5,2,,,,,,,,,1,,,,,,,,
859463,core,6,2,,,,,,,,,1,,,,,,,,
859463,core,7,2,,,,,,,,,1,,,,,,,,
859463,core,8,2,,,,,,,,,1,,,,,,,,
859463,core,9,2,,,,,,,,,1,,,,,,,,
859464,core,1,2,,,,,,,,,1,,,,,,,,
859464,core,10,2,,,,,,,,,1,,,,,,,,
859464,core,11,2,,,,,,,,,1,,,,,,,,
859464,core,12,2,,,,,,,,,1,,,,,,,,
859464,core,13,2,,,,,,,,,1,,,,,,,,
859464,core,14,2,,,,,,,,,1,,,,,,,,
859464,core,15,2,,,,,,,,,1,,,,,,,,
859464,core,16,2,,,,,,,,,1,,,,,,,,
859464,core,3,2,,,,,,,,,1,,,,,,,,
859464,core,4,2,,,,,,,,,1,,,,,,,,
859464,core,5,2,,,,,,,,,1,,,,,,,,
859464,core,6,2,,,,,,,,,1,,,,,,,,
859464,core,7,2,,,,,,,,,1,,,,,,,,
859464,core,8,2,,,,,,,,,1,,,,,,,,
859464,core,9,2,,,,,,,,,1,,,,,,,,
859465,core,1,2,,,,,,,,,1,,,,,,,,
859465,core,10,2,,,,,,,,,1,,,,,,,,
859465,core,11,2,,,,,,,,,1,,,,,,,,
859465,core,12,2,,,,,,,,,1,,,,,,,,
859465,core,13,2,,,,,,,,,1,,,,,,,,
859465,core,14,2,,,,,,,,,1,,,,,,,,
859465,core,15,2,,,,,,,,,1,,,,,,,,
859465,core,16,2,,,,,,,,,1,,,,,,,,
859465,core,3,2,,,,,,,,,1,,,,,,,,
859465,core,4,2,,,,,,,,,1,,,,,,,,
859465,core,5,2,,,,,,,,,1,,,,,,,,
859465,core,6,2,,,,,,,,,1,,,,,,,,
859465,core,7,2,,,,,,,,,1,,,,,,,,
859465,core,8,2,,,,,,,,,1,,,,,,,,
859465,core,9,2,,,,,,,,,1,,,,,,,,
859466,core,1,3,,,,,,,,,2,,,,,,,,
859466,core,10,3,,,,,,,,,2,,,,,,,,
859466,core,11,3,,,,,,,,,2,,,,,,,,
859466,core,12,3,,,,,,,,,2,,,,,,,,
859466,core,13,3,,,,,,,,,2,,,,,,,,
859466,core,14,3,,,,,,,,,2,,,,,,,,
859466,core,15,3,,,,,,,,,2,,,,,,,,
859466,core,16,3,,,,,,,,,2,,,,,,,,
859466,core,3,3,,,,,,,,,2,,,,,,,,
859466,core,4,3,,,,,,,,,2,,,,,,,,
859466,core,5,3,,,,,,,,,2,,,,,,,,
859466,core,6,3,,,,,,,,,2,,,,,,,,
859466,core,7,3,,,,,,,,,2,,,,,,,,
859466,core,8,3,,,,,,,,,2,,,,,,,,
859466,core,9,3,,,,,,,,,2,,,,,,,,
859467,accessory,1,1,,1,1,1,1,1,1,1,1,1,,,1,1,,1,
859467,accessory,4,1,,1,1,1,1,1,1,1,1,1,,,1,1,,1,
859467,accessory,5,1,,1,1,1,1,1,1,1,1,1,,,1,1,,1,
859467,accessory,8,1,,1,1,1,1,1,1,1,1,1,,,1,1,,1,
859469,accessory,1,1,,,,,,,,,1,,,,,,,,
859469,accessory,10,1,,,,,,,,,1,,,,,,,,
859469,accessory,11,1,,,,,,,,,1,,,,,,,,
859469,accessory,12,1,,,,,,,,,1,,,,,,,,
859469,accessory,13,1,,,,,,,,,1,,,,,,,,
859469,accessory,14,1,,,,,,,,,1,,,,,,,,
859469,accessory,15,1,,,,,,,,,1,,,,,,,,
859469,accessory,16,1,,,,,,,,,1,,,,,,,,
859469,accessory,3,1,,,,,,,,,1,,,,,,,,
859469,accessory,4,1,,,,,,,,,1,,,,,,,,
859469,accessory,5,1,,,,,,,,,1,,,,,,,,
859469,accessory,6,1,,,,,,,,,1,,,,,,,,
859469,accessory,7,1,,,,,,,,,1,,,,,,,,
859469,accessory,8,1,,,,,,,,,1,,,,,,,,
859469,accessory,9,1,,,,,,,,,1,,,,,,,,
859470,accessory,1,1,,1,,,,,,,1,,,,,1,,,
859470,accessory,11,1,,1,,,,,,,1,,,,,1,,,
859470,accessory,12,1,,1,,,,,,,1,,,,,1,,,
859470,accessory,13,1,,1,,,,,,,1,,,,,1,,,
859470,accessory,14,1,,1,,,,,,,1,,,,,1,,,
859470,accessory,15,1,,1,,,,,,,1,,,,,1,,,
859470,accessory,16,1,,1,,,,,,,1,,,,,1,,,
859470,accessory,3,1,,1,,,,,,,1,,,,,1,,,
859470,accessory,4,1,,1,,,,,,,1,,,,,1,,,
859470,accessory,5,1,,1,,,,,,,1,,,,,1,,,
859470,accessory,6,1,,1,,,,,,,1,,,,,1,,,
859470,accessory,8,1,,1,,,,,,,1,,,,,1,,,
859470,accessory,9,1,,1,,,,,,,1,,,,,1,,,
859471,accessory,1,2,,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,
859472,accessory,1,1,,,1,,1,,,,1,1,,,,,,,
859472,accessory,10,1,,,1,,1,,,,1,1,,,,,,,
859472,accessory,12,1,,,1,,1,,,,1,1,,,,,,,
859472,accessory,14,1,,,1,,1,,,,1,1,,,,,,,
859472,accessory,15,1,,,1,,1,,,,1,1,,,,,,,
859472,accessory,16,1,,,1,,1,,,,1,1,,,,,,,
859472,accessory,4,1,,,1,,1,,,,1,1,,,,,,,
859472,accessory,5,1,,,1,,1,,,,1,1,,,,,,,
859472,accessory,6,1,,,1,,1,,,,1,1,,,,,,,
859472,accessory,7,1,,,1,,1,,,,1,1,,,,,,,
859472,accessory,8,1,,,1,,1,,,,1,1,,,,,,,
859472,accessory,9,1,,,1,,1,,,,1,1,,,,,,,
859473,accessory,1,1,,1,1,,1,,,1,1,,1,,,,,,
859473,accessory,12,1,,1,1,,1,,,1,1,,1,,,,,,
859473,accessory,14,1,,1,1,,1,,,1,1,,1,,,,,,
859473,accessory,15,1,,1,1,,1,,,1,1,,1,,,,,,
859473,accessory,3,1,,1,1,,1,,,1,1,,1,,,,,,
859473,accessory,5,1,,1,1,,1,,,1,1,,1,,,,,,
859473,accessory,6,1,,1,1,,1,,,1,1,,1,,,,,,
859473,accessory,7,1,,1,1,,1,,,1,1,,1,,,,,,
859473,accessory,8,1,,1,1,,1,,,1,1,,1,,,,,,
859473,accessory,9,1,,1,1,,1,,,1,1,,1,,,,,,
859474,accessory,1,1,,1,1,,,1,,,1,1,1,,,,,,
859474,accessory,12,1,,1,1,,,1,,,1,1,1,,,,,,
859474,accessory,13,1,,1,1,,,1,,,1,1,1,,,,,,
859474,accessory,15,1,,1,1,,,1,,,1,1,1,,,,,,
859474,accessory,16,1,,1,1,,,1,,,1,1,1,,,,,,
859474,accessory,5,1,,1,1,,,1,,,1,1,1,,,,,,
859474,accessory,6,1,,1,1,,,1,,,1,1,1,,,,,,
859474,accessory,7,1,,1,1,,,1,,,1,1,1,,,,,,
859474,accessory,8,1,,1,1,,,1,,,1,1,1,,,,,,
859474,accessory,9,1,,1,1,,,1,,,1,1,1,,,,,,
859475,accessory,16,2,2,2,2,1,2,2,1,,2,2,2,1,2,1,1,1,
859476,accessory,8,2,2,2,2,1,2,1,2,1,2,2,1,1,2,2,,1,
859477,accessory,1,1,,1,1,,1,1,1,,1,1,,1,1,1,,,
859477,accessory,12,1,,1,1,,1,1,1,,1,1,,1,1,1,,,
859477,accessory,16,1,,1,1,,1,1,1,,1,1,,1,1,1,,,
859477,accessory,4,1,,1,1,,1,1,1,,1,1,,1,1,1,,,
859477,accessory,8,1,,1,1,,1,1,1,,1,1,,1,1,1,,,
859477,accessory,9,1,,1,1,,1,1,1,,1,1,,1,1,1,,,
859478,accessory,10,1,1,,,1,1,1,,,1,1,1,1,,1,1,1,
859478,accessory,11,1,1,,,1,1,1,,,1,1,1,1,,1,1,1,
859478,accessory,15,1,1,,,1,1,1,,,1,1,1,1,,1,1,1,
859478,accessory,16,1,1,,,1,1,1,,,1,1,1,1,,1,1,1,
859478,accessory,6,1,1,,,1,1,1,,,1,1,1,1,,1,1,1,
859479,accessory,13,1,1,1,1,1,,1,1,1,1,,1,1,,1,1,1,
859479,accessory,3,1,1,1,1,1,,1,1,1,1,,1,1,,1,1,1,
859479,accessory,6,1,1,1,1,1,,1,1,1,1,,1,1,,1,1,1,
859480,accessory,10,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,
859480,accessory,7,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,
859481,accessory,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,
859481,accessory,13,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,
859482,accessory,11,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,
859482,accessory,14,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,
859486,accessory,1,1,,1,,,1,,,,1,1,,,1,,,1,
859486,accessory,11,1,,1,,,1,,,,1,1,,,1,,,1,
859486,accessory,12,1,,1,,,1,,,,1,1,,,1,,,1,
859486,accessory,14,1,,1,,,1,,,,1,1,,,1,,,1,
859486,accessory,15,1,,1,,,1,,,,1,1,,,1,,,1,
859486,accessory,16,1,,1,,,1,,,,1,1,,,1,,,1,
859486,accessory,4,1,,1,,,1,,,,1,1,,,1,,,1,
859486,accessory,5,1,,1,,,1,,,,1,1,,,1,,,1,
859486,accessory,7,1,,1,,,1,,,,1,1,,,1,,,1,
859486,accessory,8,1,,1,,,1,,,,1,1,,,1,,,1,
859487,accessory,16,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,
859487,accessory,4,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,
859488,accessory,1,1,,1,1,,,,,1,1,1,1,1,,1,1,,
859488,accessory,12,1,,1,1,,,,,1,1,1,1,1,,1,1,,
859488,accessory,13,1,,1,1,,,,,1,1,1,1,1,,1,1,,
859488,accessory,14,1,,1,1,,,,,1,1,1,1,1,,1,1,,
859488,accessory,15,1,,1,1,,,,,1,1,1,1,1,,1,1,,
859488,accessory,6,1,,1,1,,,,,1,1,1,1,1,,1,1,,
859488,accessory,9,1,,1,1,,,,,1,1,1,1,1,,1,1,,
859489,accessory,10,5,2,,5,1,1,1,5,1,4,2,1,1,1,1,1,1,
859490,accessory,11,3,3,3,,2,3,3,,3,3,3,2,3,3,3,3,3,
859490,accessory,15,3,3,3,,2,3,3,,3,3,3,2,3,3,3,3,3,
859491,accessory,1,1,,1,,1,1,,1,,,,,1,,,1,1,
859491,accessory,11,1,,1,,1,1,,1,,,,,1,,,1,1,
859491,accessory,14,1,,1,,1,1,,1,,,,,1,,,1,1,
859491,accessory,16,1,,1,,1,1,,1,,,,,1,,,1,1,
859491,accessory,2,1,,1,,1,1,,1,,,,,1,,,1,1,
859491,accessory,3,1,,1,,1,1,,1,,,,,1,,,1,1,
859491,accessory,4,1,,1,,1,1,,1,,,,,1,,,1,1,
859491,accessory,6,1,,1,,1,1,,1,,,,,1,,,1,1,
859491,accessory,7,1,,1,,1,1,,1,,,,,1,,,1,1,
859492,accessory,4,4,2,2,4,1,2,2,1,2,3,2,,2,1,2,2,1,
859493,accessory,1,1,,1,1,1,,,,,1,1,1,,1,,1,,
859493,accessory,13,1,,1,1,1,,,,,1,1,1,,1,,1,,
859493,accessory,14,1,,1,1,1,,,,,1,1,1,,1,,1,,
859493,accessory,15,1,,1,1,1,,,,,1,1,1,,1,,1,,
859493,accessory,16,1,,1,1,1,,,,,1,1,1,,1,,1,,
859493,accessory,5,1,,1,1,1,,,,,1,1,1,,1,,1,,
859493,accessory,7,1,,1,1,1,,,,,1,1,1,,1,,1,,
859493,accessory,9,1,,1,1,1,,,,,1,1,1,,1,,1,,
859494,accessory,10,2,2,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,
859498,accessory,1,1,,,,,,,,,1,,,,,,,,
859498,accessory,10,1,,,,,,,,,1,,,,,,,,
859498,accessory,11,1,,,,,,,,,1,,,,,,,,
859498,accessory,12,1,,,,,,,,,1,,,,,,,,
859498,accessory,13,1,,,,,,,,,1,,,,,,,,
859498,accessory,14,1,,,,,,,,,1,,,,,,,,
859498,accessory,15,1,,,,,,,,,1,,,,,,,,
859498,accessory,16,1,,,,,,,,,1,,,,,,,,
859498,accessory,3,1,,,,,,,,,1,,,,,,,,
859498,accessory,4,1,,,,,,,,,1,,,,,,,,
859498,accessory,5,1,,,,,,,,,1,,,,,,,,
859498,accessory,6,1,,,,,,,,,1,,,,,,,,
859498,accessory,7,1,,,,,,,,,1,,,,,,,,
859498,accessory,8,1,,,,,,,,,1,,,,,,,,
859498,accessory,9,1,,,,,,,,,1,,,,,,,,
859499,accessory,11,2,1,1,,1,1,1,1,1,2,1,1,1,2,2,1,1,
859500,accessory,6,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,
859500,accessory,7,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,
859501,accessory,1,1,,,,,,,,,1,,,,,,,,
859501,accessory,10,1,,,,,,,,,1,,,,,,,,
859501,accessory,11,1,,,,,,,,,1,,,,,,,,
859501,accessory,12,1,,,,,,,,,1,,,,,,,,
859501,accessory,13,1,,,,,,,,,1,,,,,,,,
859501,accessory,14,1,,,,,,,,,1,,,,,,,,
859501,accessory,15,1,,,,,,,,,1,,,,,,,,
859501,accessory,16,1,,,,,,,,,1,,,,,,,,
859501,accessory,3,1,,,,,,,,,1,,,,,,,,
859501,accessory,4,1,,,,,,,,,1,,,,,,,,
859501,accessory,5,1,,,,,,,,,1,,,,,,,,
859501,accessory,6,1,,,,,,,,,1,,,,,,,,
859501,accessory,7,1,,,,,,,,,1,,,,,,,,
859501,accessory,8,1,,,,,,,,,1,,,,,,,,
859501,accessory,9,1,,,,,,,,,1,,,,,,,,
859502,accessory,1,1,,,,,,,,,1,,1,,,,,,
859502,accessory,10,1,,,,,,,,,1,,1,,,,,,
859502,accessory,11,1,,,,,,,,,1,,1,,,,,,
859502,accessory,12,1,,,,,,,,,1,,1,,,,,,
859502,accessory,13,1,,,,,,,,,1,,1,,,,,,
859502,accessory,14,1,,,,,,,,,1,,1,,,,,,
859502,accessory,15,1,,,,,,,,,1,,1,,,,,,
859502,accessory,16,1,,,,,,,,,1,,1,,,,,,
859502,accessory,3,1,,,,,,,,,1,,1,,,,,,
859502,accessory,5,1,,,,,,,,,1,,1,,,,,,
859502,accessory,6,1,,,,,,,,,1,,1,,,,,,
859502,accessory,7,1,,,,,,,,,1,,1,,,,,,
859502,accessory,8,1,,,,,,,,,1,,1,,,,,,
859502,accessory,9,1,,,,,,,,,1,,1,,,,,,
859503,core,1,2,,,,,,,,,1,,,,,,,,
859503,core,10,2,,,,,,,,,1,,,,,,,,
859503,core,11,2,,,,,,,,,1,,,,,,,,
