	27622715.filtered	Bnigra_C2.v1.genes.filtered	Bnigra_NI100.v2.genes.filtered	BoleraceaHDEM_annotation.filtered	GCA_000751015.1_AST_PRJEB5043_v1_genomic.filtered	GCA_003260655.2_B_cretica_A_v2_genomic.filtered	GCA_003260675.2_B_cretica_D_v2_genomic.filtered	GCA_003434825.1_Brassica_rapa_FPsc_v1.3_genomic.filtered	GCA_016771965.1_ASM1677196v1_genomic.filtered	GCA_017639395.1_SCU_BraROA_2.3_genomic.filtered	GCA_038677285.1_ASM3867728v1_genomic.filtered	GCA_040550855.1_C4012_genomic.filtered	GCA_040584065.1_ASM4058406v1_genomic.filtered	GCA_900412535.3_brapa_z1_v2_genomic.filtered	GCA_905183035.1_bnapus_darmor_bzh_v10_genomic.filtered	GCF_000309985.2_CAAS_Brap_v3.01_genomic.filtered	GCF_000695525.1_BOL_genomic.filtered	GCF_020379485.1_Da-Ae_genomic.filtered	GWHAASO00000000.filtered	GWHAAZX00000000.filtered	GWHBJSH00000000.filtered	GWHBKKZ00000000.filtered	GWHBKLA00000000.filtered	GWHCAYN00000000.filtered	GWHDTWV00000000.filtered	GWHDTWX00000000.filtered	GWHDTYA00000000.filtered	GWHDTYD00000000.filtered	GWHDTYE00000000.filtered	GWHDTYG00000000.filtered	GWHDTYH00000000.filtered	GWHDTYJ00000000.filtered	GWHDTYK00000000.filtered	GWHDTYL00000000.filtered	GWHDTYM00000000.filtered	GWHDTZU00000000.filtered	GWHDTZV00000000.filtered	GWHDUBH00000000.filtered	GWHDUBI00000000.filtered	GWHDUBJ00000000.filtered	GWHDUBL00000000.filtered	GWHDUBM00000000.filtered	GWHDUBP00000000.filtered	GWHDUBR00000000.filtered	GWHDUBS00000000.filtered	GWHDUBT00000000.filtered	GWHEQVE00000000.filtered	GWHEQVJ00000000.filtered	GWHEQVL00000000.filtered	GWHEQVM00000000.filtered	GWHEQVN00000000.filtered	GWHEQVO00000000.filtered	GWHERGL00000000.filtered	GWHERGM00000000.filtered	GWHFIKA00000000.1.filtered	GWHFQTP00000000.1.filtered	OX_heart.filtered
mean five_prime_utr length (bp)	158.0	0.0	0.0	0.0	190.0	397.0	374.0	155.0	0.0	204.0	354.0	0.0	0.0	129.0	194.0	835.0	153.0	356.0	0.0	351.0	234.0	0.0	162.0	195.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.0	183.0	177.0
mean three_prime_utr length (bp)	252.0	0.0	0.0	0.0	241.0	343.0	354.0	229.0	0.0	315.0	465.0	0.0	0.0	137.0	196.0	574.0	193.0	329.0	0.0	370.0	287.0	0.0	279.0	271.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	236.0	279.0	253.0
mean cds piece length (bp)	214.0	218.0	237.0	219.0	205.0	218.0	216.0	234.0	218.0	214.0	220.0	226.0	228.0	225.0	222.0	250.0	244.0	255.0	232.0	229.0	223.0	234.0	216.0	258.0	220.0	221.0	220.0	220.0	220.0	221.0	219.0	222.0	223.0	222.0	224.0	224.0	221.0	220.0	221.0	220.0	220.0	221.0	217.0	219.0	222.0	223.0	235.0	234.0	232.0	231.0	232.0	234.0	243.0	228.0	216.0	218.0	212.0
mean five_prime_utr piece length (bp)	130.0	0.0	0.0	0.0	155.0	141.0	121.0	127.0	0.0	157.0	279.0	0.0	0.0	109.0	171.0	677.0	125.0	292.0	0.0	351.0	158.0	0.0	135.0	163.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	155.0	145.0
mean three_prime_utr piece length (bp)	235.0	0.0	0.0	0.0	232.0	189.0	185.0	216.0	0.0	252.0	418.0	0.0	0.0	115.0	174.0	525.0	183.0	307.0	0.0	370.0	218.0	0.0	263.0	252.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	219.0	258.0	237.0
mean intron in cds length (bp)	324.0	210.0	205.0	311.0	200.0	214.0	228.0	198.0	381.0	253.0	343.0	337.0	330.0	315.0	282.0	199.0	221.0	194.0	281.0	232.0	236.0	238.0	277.0	211.0	270.0	268.0	271.0	266.0	273.0	267.0	273.0	243.0	239.0	270.0	240.0	239.0	270.0	272.0	271.0	269.0	272.0	274.0	273.0	274.0	269.0	236.0	221.0	267.0	307.0	220.0	267.0	218.0	260.0	259.0	317.0	557.0	367.0
mean intron in exon length (bp)	328.0	210.0	205.0	311.0	577.0	215.0	229.0	201.0	381.0	1539.0	360.0	337.0	330.0	654.0	626.0	14.0	11.0	55.0	281.0	232.0	245.0	238.0	278.0	214.0	270.0	268.0	271.0	266.0	273.0	267.0	273.0	243.0	239.0	270.0	240.0	239.0	270.0	272.0	271.0	269.0	272.0	274.0	273.0	274.0	269.0	236.0	221.0	267.0	307.0	220.0	267.0	218.0	260.0	259.0	316.0	553.0	369.0
mean intron in five_prime_utr length (bp)	382.0	0.0	0.0	0.0	350.0	513.0	459.0	284.0	0.0	278.0	627.0	0.0	0.0	688.0	672.0	892.0	421.0	423.0	0.0	0.0	317.0	0.0	327.0	294.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	311.0	353.0	403.0
mean intron in three_prime_utr length (bp)	582.0	0.0	0.0	0.0	657.0	307.0	262.0	245.0	0.0	231.0	995.0	0.0	0.0	826.0	409.0	1671.0	477.0	391.0	0.0	0.0	338.0	0.0	270.0	248.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	280.0	332.0	477.0
% of genome covered by gene	24.8	20.7	20.2	21.6	0.2	29.5	33.1	29.5	21.2	13.9	32.0	21.7	21.6	0.2	1.2	0.0	0.0	0.0	23.9	26.9	23.8	19.8	24.2	21.9	19.6	20.1	20.4	19.4	20.3	20.5	20.2	17.9	18.0	19.9	18.3	17.9	19.7	20.4	19.3	19.2	19.7	20.6	19.9	20.8	20.6	17.7	15.6	17.7	17.6	16.1	17.1	15.1	24.1	24.0	21.2	34.1	25.9
% of genome covered by mrna	24.8	20.7	20.2	21.6	26.9	29.5	33.1	29.5	21.2	30.2	32.0	21.7	21.6	50.5	49.5	43.2	22.7	24.2	23.9	26.9	23.8	19.8	24.2	21.9	19.6	20.1	20.4	19.4	20.3	20.5	20.2	17.9	18.0	19.9	18.3	17.9	19.7	20.4	19.3	19.2	19.7	20.6	19.9	20.8	20.6	17.7	15.6	17.7	17.6	16.1	17.1	15.1	24.1	24.0	21.2	34.1	25.9
% of genome covered by cds	10.2	11.8	12.1	10.3	7.0	16.9	18.5	15.2	9.0	15.3	12.0	10.0	10.1	12.1	11.8	14.8	11.2	11.2	12.2	14.6	10.6	11.0	11.0	11.5	9.9	10.2	10.3	9.9	10.2	10.5	10.2	9.6	9.8	10.1	9.9	9.7	10.0	10.3	9.8	9.7	9.9	10.4	10.0	10.4	10.5	9.6	9.0	9.4	8.7	9.3	9.0	8.8	13.1	12.6	9.1	10.7	10.1
% of genome covered by exon	12.3	11.8	12.1	10.3	0.1	17.0	18.5	18.6	9.0	2.8	16.1	10.0	10.1	0.1	0.5	0.0	0.0	0.0	12.2	14.9	13.6	11.0	12.7	14.0	9.9	10.2	10.3	9.9	10.2	10.5	10.2	9.6	9.8	10.1	9.9	9.7	10.0	10.3	9.8	9.7	9.9	10.4	10.0	10.4	10.5	9.6	9.0	9.4	8.7	9.3	9.0	8.8	13.1	12.6	10.3	12.1	12.0
% of genome covered by five_prime_utr	0.8	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	1.1	1.7	0.0	0.0	0.0	0.2	8.8	1.1	2.7	0.0	0.1	1.2	0.0	0.6	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.5	0.7
% of genome covered by three_prime_utr	1.3	0.0	0.0	0.0	0.1	0.0	0.0	2.0	0.0	1.8	2.4	0.0	0.0	0.0	0.2	6.2	1.4	2.6	0.0	0.1	1.7	0.0	1.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.9	1.1
% of genome covered by intron from cds	11.9	8.8	8.1	11.3	5.5	12.5	14.4	10.3	12.3	14.9	14.4	11.7	11.5	13.3	11.7	9.4	8.1	6.8	11.7	12.0	8.8	8.8	11.2	7.5	9.7	9.9	10.1	9.5	10.1	10.0	10.1	8.3	8.3	9.8	8.4	8.2	9.7	10.1	9.5	9.5	9.8	10.2	10.0	10.4	10.1	8.0	6.6	8.3	9.0	6.9	8.1	6.3	11.1	11.4	10.6	21.8	13.4
% of genome covered by intron from exon	12.5	8.8	8.1	11.3	0.1	12.5	14.5	11.0	12.3	11.1	15.8	11.7	11.5	0.1	0.7	0.0	0.0	0.0	11.7	12.0	10.3	8.8	11.5	7.9	9.7	9.9	10.1	9.5	10.1	10.0	10.1	8.3	8.3	9.8	8.4	8.2	9.7	10.1	9.5	9.5	9.8	10.2	10.0	10.4	10.1	8.0	6.6	8.3	9.0	6.9	8.1	6.3	11.1	11.4	10.9	22.1	13.9
Longest gene (bp)	103516.0	57323.0	51218.0	85039.0	7353.0	24505.0	24429.0	27238.0	167774.0	30606.0	606053.0	1102137.0	563435.0	21547.0	105669.0	266.0	90.0	2631.0	57725.0	33381.0	35992.0	105299.0	79792.0	56368.0	130733.0	136256.0	280328.0	106001.0	131818.0	86140.0	258593.0	246136.0	327240.0	437245.0	301213.0	147764.0	324456.0	97707.0	301359.0	223910.0	245487.0	95027.0	153718.0	289550.0	396780.0	246216.0	121322.0	247525.0	107559.0	46099.0	89781.0	74145.0	68551.0	64917.0	135725.0	577042.0	75718.0
Longest mrna (bp)	103516.0	57323.0	51218.0	85039.0	26418.0	24505.0	24429.0	27238.0	167774.0	33724.0	606053.0	1102137.0	563435.0	179814.0	189169.0	905201.0	331299.0	118213.0	57725.0	33381.0	35992.0	105299.0	79792.0	56368.0	130733.0	136256.0	280328.0	106001.0	131818.0	86140.0	258593.0	246136.0	327240.0	437245.0	301213.0	147764.0	324456.0	97707.0	301359.0	223910.0	245487.0	95027.0	153718.0	289550.0	396780.0	246216.0	121322.0	247525.0	107559.0	46099.0	89781.0	74145.0	68551.0	64917.0	135725.0	577042.0	75718.0
Longest cds (bp)	16095.0	16116.0	16116.0	15237.0	15231.0	14904.0	12348.0	16125.0	12465.0	16125.0	28842.0	16116.0	16116.0	16128.0	16128.0	16125.0	16095.0	16125.0	16212.0	16131.0	16095.0	16086.0	16092.0	16125.0	16083.0	16086.0	16083.0	16086.0	16086.0	16071.0	16095.0	16083.0	16083.0	16086.0	16086.0	16086.0	16095.0	16089.0	15939.0	16086.0	16095.0	16095.0	15234.0	16086.0	16086.0	16083.0	16104.0	16092.0	16104.0	16095.0	16092.0	16104.0	16125.0	16125.0	16206.0	16125.0	16095.0
Longest exon (bp)	13383.0	6595.0	11487.0	9710.0	2166.0	7032.0	6173.0	7677.0	6595.0	5469.0	70026.0	11168.0	12985.0	2799.0	36315.0	87.0	88.0	94.0	7931.0	9807.0	11101.0	11223.0	7270.0	13253.0	8538.0	7931.0	6731.0	7320.0	8591.0	10844.0	10873.0	6731.0	6731.0	8553.0	7026.0	7068.0	7931.0	7931.0	8538.0	7931.0	7931.0	11101.0	10801.0	10801.0	11101.0	11101.0	9157.0	9236.0	9327.0	9142.0	9142.0	9117.0	6232.0	8802.0	11366.0	10100.0	10895.0
Longest five_prime_utr (bp)	3957.0	0.0	0.0	0.0	2590.0	2220.0	2250.0	4910.0	0.0	8328.0	46859.0	0.0	0.0	2021.0	36556.0	31013.0	4743.0	14520.0	0.0	8077.0	5016.0	0.0	5369.0	7938.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4766.0	3044.0	4601.0
Longest three_prime_utr (bp)	5804.0	0.0	0.0	0.0	2524.0	3222.0	1716.0	5537.0	0.0	5673.0	46005.0	0.0	0.0	3680.0	26484.0	27918.0	3353.0	21395.0	0.0	4245.0	9137.0	0.0	3889.0	9322.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5015.0	3206.0	4777.0
Longest cds piece (bp)	7026.0	6595.0	11487.0	9710.0	11599.0	7032.0	6173.0	7677.0	6595.0	10426.0	10947.0	11168.0	12985.0	9916.0	10558.0	10586.0	11054.0	10652.0	7931.0	9807.0	11101.0	11223.0	7270.0	13253.0	8538.0	7931.0	6731.0	7320.0	8591.0	10844.0	10873.0	6731.0	6731.0	8553.0	7026.0	7068.0	7931.0	7931.0	8538.0	7931.0	7931.0	11101.0	10801.0	10801.0	11101.0	11101.0	9157.0	9236.0	9327.0	9142.0	9142.0	9117.0	6232.0	8802.0	11366.0	10100.0	10895.0
Longest five_prime_utr piece (bp)	3957.0	0.0	0.0	0.0	2009.0	1421.0	1494.0	4910.0	0.0	5469.0	34428.0	0.0	0.0	2021.0	36315.0	31013.0	3685.0	13096.0	0.0	8077.0	4084.0	0.0	5369.0	7938.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4766.0	3044.0	4475.0
Longest three_prime_utr piece (bp)	5804.0	0.0	0.0	0.0	2166.0	1781.0	1095.0	5386.0	0.0	4925.0	45933.0	0.0	0.0	2799.0	26484.0	20368.0	3353.0	17193.0	0.0	4245.0	9137.0	0.0	3889.0	9322.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4823.0	2951.0	3381.0
Longest intron into cds part (bp)	99332.0	20838.0	22882.0	72465.0	24090.0	8761.0	8979.0	18193.0	139261.0	20956.0	199983.0	197145.0	199184.0	99955.0	90242.0	739882.0	306768.0	84520.0	56314.0	30373.0	9995.0	87048.0	50153.0	40717.0	73595.0	133089.0	271781.0	91586.0	74823.0	70831.0	254250.0	242441.0	323774.0	434809.0	297755.0	144559.0	321263.0	89785.0	274854.0	219532.0	242317.0	80966.0	150551.0	280721.0	337798.0	242522.0	120686.0	180420.0	106416.0	43980.0	88635.0	73062.0	57167.0	52021.0	134401.0	552396.0	54273.0
Longest intron into exon part (bp)	99332.0	20838.0	22882.0	72465.0	6448.0	8761.0	8979.0	18193.0	139261.0	30291.0	199983.0	197145.0	199184.0	17411.0	96968.0	193.0	17.0	2559.0	56314.0	30373.0	9995.0	87048.0	50153.0	40717.0	73595.0	133089.0	271781.0	91586.0	74823.0	70831.0	254250.0	242441.0	323774.0	434809.0	297755.0	144559.0	321263.0	89785.0	274854.0	219532.0	242317.0	80966.0	150551.0	280721.0	337798.0	242522.0	120686.0	180420.0	106416.0	43980.0	88635.0	73062.0	57167.0	52021.0	134401.0	552396.0	54273.0
Shortest gene (bp)	150.0	150.0	150.0	150.0	5.0	150.0	150.0	150.0	150.0	1.0	150.0	150.0	150.0	1.0	1.0	70.0	70.0	58.0	162.0	150.0	302.0	150.0	153.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0
Shortest mrna (bp)	150.0	150.0	150.0	150.0	57.0	150.0	150.0	150.0	150.0	156.0	150.0	150.0	150.0	130.0	120.0	206.0	153.0	153.0	162.0	150.0	302.0	150.0	153.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0	150.0
Shortest cds piece (bp)	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	3.0	1.0	1.0	3.0	1.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	2.0	3.0	3.0	1.0	3.0	2.0	1.0	1.0	1.0
Shortest five_prime_utr piece (bp)	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	8.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
Shortest three_prime_utr piece (bp)	1.0	0.0	0.0	0.0	1.0	10.0	3.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	4.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
Shortest intron into cds part (bp)	21.0	3.0	1.0	11.0	11.0	30.0	30.0	1.0	21.0	20.0	4.0	1.0	4.0	11.0	9.0	1.0	1.0	1.0	21.0	15.0	20.0	21.0	1.0	4.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	24.0	24.0	21.0	24.0	30.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	10.0	10.0	10.0	10.0	10.0	10.0	29.0	29.0	21.0	20.0	21.0
Shortest intron into exon part (bp)	21.0	3.0	1.0	11.0	19.0	30.0	30.0	1.0	21.0	20.0	4.0	1.0	4.0	13.0	9.0	11.0	11.0	10.0	21.0	15.0	20.0	21.0	1.0	4.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	24.0	24.0	21.0	24.0	30.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	10.0	10.0	10.0	10.0	10.0	10.0	29.0	29.0	21.0	20.0	21.0
Number of region	0.0	0.0	0.0	0.0	3486.0	20.0	17.0	103.0	787.0	161.0	19.0	390.0	243.0	10.0	105.0	542.0	460.0	1846.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Number region overlapping	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Total region length (bp)	0.0	0.0	0.0	0.0	462413159.0	282966502.0	281321016.0	296879155.0	1070531536.0	345215660.0	1004949250.0	1069770143.0	1068774053.0	386053793.0	900488050.0	331851401.0	467482028.0	940384375.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mean region length (bp)	0.0	0.0	0.0	0.0	132648.0	14148325.0	16548295.0	2882321.0	1360268.0	2144196.0	52892065.0	2743000.0	4398247.0	38605379.0	8576076.0	612271.0	1016265.0	509417.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
% of genome covered by region	0.0	0.0	0.0	0.0	58.3	87.5	100.0	98.2	98.8	99.8	100.0	99.7	99.9	87.0	97.5	94.0	99.4	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Longest region (bp)	0.0	0.0	0.0	0.0	997084.0	46022850.0	44274581.0	44888295.0	72379882.0	60281870.0	79204285.0	75391900.0	74943771.0	68194707.0	73669886.0	45156810.0	64984695.0	74222928.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Shortest region (bp)	0.0	0.0	0.0	0.0	10009.0	10304.0	10554.0	10010.0	10005.0	10625.0	26714908.0	10218.0	15630.0	20386415.0	60731.0	10311.0	10018.0	10070.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Number of rna	0.0	0.0	0.0	0.0	2901.0	0.0	0.0	0.0	0.0	22806.0	0.0	0.0	0.0	2478.0	13588.0	1844.0	4409.0	9140.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Number of single exon rna	0.0	0.0	0.0	0.0	1545.0	0.0	0.0	0.0	0.0	6798.0	0.0	0.0	0.0	1825.0	4706.0	632.0	688.0	2897.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mean rnas per gene	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2285.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mean exons per rna	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.0	1.3	1.8	3.8	4.7	4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mean five_prime_utrs per rna	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.6	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mean three_prime_utrs per rna	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.6	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mean introns in exons per rna	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.3	0.8	2.8	3.7	3.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mean introns in five_prime_utrs per rna	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mean introns in three_prime_utrs per rna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
