	27622715	Bnigra_C2	Bnigra_NI100	BoleraceaHDEM	GCA_000751015	GCA_003260655	GCA_003260675	GCA_003434825	GCA_016771965	GCA_017639395	GCA_038677285	GCA_040550855	GCA_040584065	GCA_900412535	GCA_905183035	GCF_000309985	GCF_000695525	GCF_020379485	GWHAASO00000000	GWHAAZX00000000	GWHBJSH00000000	GWHBKKZ00000000	GWHBKLA00000000	GWHCAYN00000000	GWHDTWV00000000	GWHDTWX00000000	GWHDTYA00000000	GWHDTYD00000000	GWHDTYE00000000	GWHDTYG00000000	GWHDTYH00000000	GWHDTYJ00000000	GWHDTYK00000000	GWHDTYL00000000	GWHDTYM00000000	GWHDTZU00000000	GWHDTZV00000000	GWHDUBH00000000	GWHDUBI00000000	GWHDUBJ00000000	GWHDUBL00000000	GWHDUBM00000000	GWHDUBP00000000	GWHDUBR00000000	GWHDUBS00000000	GWHDUBT00000000	GWHEQVE00000000	GWHEQVJ00000000	GWHEQVL00000000	GWHEQVM00000000	GWHEQVN00000000	GWHEQVO00000000	GWHERGL00000000	GWHERGM00000000	GWHFIKA00000000	GWHFQTP00000000	OX	From file:
three_prime_UTR	29559.0	0.0	0.0	0.0	27078.0	469.0	659.0	28021.0	0.0	24195.0	57980.0	0.0	0.0	8964.0	63514.0	41698.0	36402.0	83160.0	0.0	1409.0	43775.0	0.0	21896.0	55133.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35026.0	33108.0	26093.0	annotation_contents_filtered.tsv
region	0.0	0.0	0.0	0.0	3486.0	20.0	17.0	103.0	787.0	161.0	19.0	390.0	243.0	10.0	105.0	542.0	460.0	1846.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_filtered.tsv
RNA	0.0	0.0	0.0	0.0	2901.0	0.0	0.0	0.0	0.0	22806.0	0.0	0.0	0.0	2478.0	13588.0	1844.0	4409.0	9140.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_filtered.tsv
pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	20.0	0.0	0.0	1869.0	4434.0	9253.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_filtered.tsv
transcript	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1473.0	922.0	2354.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_filtered.tsv
lnc_RNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4365.0	3917.0	9069.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_filtered.tsv
tRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1100.0	985.0	2594.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_filtered.tsv
snoRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1155.0	0.0	3579.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_filtered.tsv
snRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149.0	0.0	344.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_filtered.tsv
rRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1382.0	3.0	7260.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_filtered.tsv
primary_transcript	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_filtered.tsv
miRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_filtered.tsv
inverted_repeat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_filtered.tsv
sequence_feature	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	426.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_filtered.tsv
repeat_region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_filtered.tsv
Number of sequences:	70412	67020	59851	61279	61153	63131	62722	43332	97148	43129	124769	103768	102249	52701	108170	60607	56687	120351	59064	45998	97195	53879	59398	86342	53334	52455	52966	51826	52324	52557	53403	51048	50938	52658	50754	51551	52876	53409	52606	52057	52705	53089	54905	52715	51515	50343	52928	53192	51831	52913	52206	52059	49308	49243	84662	95221	68277	protein_contents_raw.tsv
Total sequence length:	23628252	21152405	20409724	19094010	19862161	18186390	17260975	16757821	32444950	17615210	40109787	35675730	35966006	17893939	36242910	26672186	23465247	51436379	22680403	18522846	37047281	19546199	20316234	36811269	19035062	19007726	18857366	18565665	18751969	18832894	19008345	18045238	18135746	19173258	18060870	18336909	18949395	18947476	18915463	18662316	18913948	19060766	19375265	18820555	18610201	17836182	18223996	18536020	18272758	18159854	18285232	18062958	19190531	18079093	29781471	34793774	21914446	protein_contents_raw.tsv
Average sequence length:	335.5713798784298	315.6133243807819	341.0089054485305	311.5914097814912	324.79454810066557	288.07384644627837	275.1980963617232	386.7308455644789	333.97445135257544	408.43075424888127	321.47237695260844	343.80281011487165	351.74922004127177	339.5369917079372	335.05509845613386	440.08424769416075	413.9440612486108	427.38638648619457	383.99707097385885	402.6880733944954	381.16447348114616	362.77954305016794	342.03565776625476	426.342556345695	356.9029512131098	362.36252025545707	356.027753653287	358.23071431327907	358.381794205336	358.332743497536	355.941520139318	353.4954944366087	356.03569044721036	364.10911922215047	355.8511644402412	355.70423464142306	358.37421514486726	354.76185661592615	359.5685473139946	358.497723649077	358.86439616734657	359.03418787319407	352.8870776796285	357.0246609124538	361.25790546442784	354.2931887253441	344.31673216444983	348.47383065122574	352.54496343886865	343.2021242416797	350.25154196835615	346.9708984037342	389.1971079743652	367.1403651280385	351.769046325388	365.4002163388328	320.9638091890388	protein_contents_raw.tsv
Std. dev. sequence length:	282.4206411870298	277.5219420055984	305.6538829127428	279.57294481829445	264.63711330480703	254.5165551437599	245.3971307008402	275.8210118687314	268.8189182443671	334.59902555939584	285.8753355779792	284.14020193368026	286.90863758085067	298.9515261907156	288.65924881548324	308.8047578994683	297.7685065099974	304.6751762974301	276.57310502044504	293.01595078899777	295.6408476603997	290.5403208600809	282.50511150445254	350.5544105034718	283.0204746551949	288.68075180380777	283.4313304758471	284.88946952696193	285.29335439847114	284.101913666903	282.3373634530666	280.41971744410483	283.2593181506093	289.3082209429453	281.2044446017766	280.8503787051455	285.57541023894913	282.9034328197358	285.28175840271405	283.6651745760653	285.5915829301927	288.34502031463575	281.66985681707564	283.2145336077961	286.6875023980191	280.26135141067834	274.92923261918065	275.80154599426737	276.92310971264095	272.6179897137388	277.6474001635628	274.2656941839188	303.8266084477858	287.010953391427	295.1925847336322	325.63124845609184	278.90276376862437	protein_contents_raw.tsv
Minimum sequence length:	26	1	1	33	10	49	49	30	49	51	49	49	49	33	33	25	25	25	50	49	100	49	49	40	35	49	34	46	35	49	39	34	49	49	49	49	34	36	49	33	45	49	49	35	49	46	28	24	23	26	24	49	9	16	35	37	27	protein_contents_raw.tsv
Maximum sequence length:	5364	5371	5371	5078	5076	4967	4115	5374	4154	5374	9613	5371	5371	5375	5375	5374	5364	5374	5403	5376	5364	5361	5363	5374	5360	5361	5360	5361	5361	5356	5364	5360	5360	5361	5361	5361	5364	5362	5312	5361	5364	5364	5077	5361	5361	5360	5367	5363	5367	5364	5363	5367	5374	5374	5401	5374	5364	protein_contents_raw.tsv
Median sequence length:	262.0	240.0	257.0	232.0	261.0	208.0	197.0	334.0	265.0	326.0	241.0	273.0	283.0	262.0	260.0	372.0	346.0	359.0	317.0	335.0	304.0	292.0	271.0	337.0	289.0	292.0	287.0	290.0	289.0	288.0	289.0	285.0	287.0	294.0	290.0	289.0	289.0	285.0	289.0	290.0	290.0	287.0	283.0	288.0	292.0	288.0	283.0	287.0	291.0	282.0	288.0	286.0	318.0	305.0	278.0	286.0	242.0	protein_contents_raw.tsv
N50 sequence index:	16183	14843	13090	13282	14380	13823	13605	11451	23051	10153	27679	24317	24188	11679	24286	16228	14892	31847	15456	11961	24226	12945	13901	19793	12992	12720	12822	12610	12665	12743	12978	12405	12341	12766	12409	12612	12809	12906	12728	12696	12793	12728	13263	12782	12535	12322	12804	12963	12717	12854	12725	12693	11942	12061	19697	21979	15279	protein_contents_raw.tsv
N50 sequence length:	469	448	483	456	450	408	388	487	455	541	453	472	480	487	477	528	508	518	475	499	483	482	469	555	473	480	474	472	475	476	473	468	472	483	470	470	476	474	481	475	475	480	467	474	478	468	467	472	471	462	471	468	511	488	477	484	458	protein_contents_raw.tsv
N95 sequence index:	56438	53003	47301	47952	48347	51241	51168	35589	78994	34663	100153	83532	82332	41115	85173	50773	47407	100758	49767	38274	81939	43722	47755	69513	43470	42736	43097	42252	42601	42822	43500	41613	41432	42915	41302	42039	42992	43459	42845	42474	42959	43164	44745	42947	41983	41007	42652	42928	41865	42804	42136	42057	39866	39906	68373	76933	54916	protein_contents_raw.tsv
N95 sequence length:	116	109	117	105	119	100	97	159	120	152	111	120	124	115	116	187	171	179	156	163	146	135	122	157	135	137	133	135	135	135	133	134	134	138	135	135	135	133	135	136	135	134	133	135	137	134	125	130	132	127	130	128	144	135	125	133	108	protein_contents_raw.tsv
Number of sequences:	60250	65439	58814	59254	54175	63131	62722	39696	96708	43070	124769	103731	102246	51245	105723	41359	43679	90785	59060	45960	57983	53879	59398	86338	53330	52455	52963	51824	52323	52557	53402	51047	50938	52658	50754	51551	52874	53408	52606	52055	52704	53089	54905	52713	51515	50342	52872	53133	51763	52848	52139	52059	49083	49108	84648	95205	61869	protein_contents_filtered.tsv
Total sequence length:	18825269	21103665	20376005	19011283	18536688	18186390	17260975	15306363	32309757	17602018	40109787	35669124	35965518	17833490	36142823	17343353	17493975	37303284	22679325	18510138	20109726	19546199	20316234	36811090	19034900	19007726	18857259	18565571	18751934	18832894	19008306	18045204	18135746	19173258	18060870	18336909	18949323	18947440	18915463	18662248	18913903	19060766	19375265	18820472	18610201	17836136	18221632	18533543	18269922	18157165	18282500	18062958	19182443	18073832	29780858	34792525	18953660	protein_contents_filtered.tsv
Average sequence length:	312.45259751037344	322.49369641956633	346.4482096099568	320.8438755189523	342.1631379787725	288.07384644627837	275.1980963617232	385.58955562273275	334.09601067129915	408.6839563501277	321.47237695260844	343.8617578158892	351.7547679126812	348.0044882427554	341.86338828826274	419.3368553398293	400.5122598960599	410.89699840281986	384.00482560108367	402.7445169712794	346.8210682441405	362.77954305016794	342.03565776625476	426.36023535407355	356.92668291768234	362.36252025545707	356.04589996790213	358.24272537820315	358.38797469564054	358.332743497536	355.9474551514925	353.50175328618724	356.03569044721036	364.10911922215047	355.8511644402412	355.70423464142306	358.38640919922835	354.76782504493707	359.5685473139946	358.51019114398235	358.87035139647844	359.03418787319407	352.8870776796285	357.03663232978585	361.25790546442784	354.29931270112434	344.63670752004845	348.81416445523496	352.9533064157796	343.5733613381774	350.6492261071367	346.9708984037342	390.8164333883422	368.04251853058565	351.81998393346566	365.4485058557849	306.35148458840456	protein_contents_filtered.tsv
Std. dev. sequence length:	269.21615665876374	277.2480628981538	305.55054270516666	279.7115304418697	269.049550152426	254.51655514375986	245.3971307008402	273.16132997445663	268.8849666684526	334.73158076121285	285.87533557797923	284.16326245756136	286.9101761560251	298.85701707447527	288.449676568545	292.60077873994885	281.2613902111331	289.94744747641704	276.5800005583382	293.07621181096636	277.65923749575103	290.5403208600809	282.50511150445254	350.55290783767464	283.01782051729896	288.68075180380777	283.42910149624856	284.8884056420926	285.2925777893337	284.101913666903	282.3366756861317	280.41889855251907	283.2593181506093	289.3082209429453	281.2044446017766	280.8503787051455	285.5739280847272	282.902718799585	285.28175840271405	283.66349249290175	285.5910198689101	288.34502031463575	281.66985681707564	283.2132347065023	286.6875023980191	280.26076666805176	274.8987824524695	275.76529127136985	276.87543316314674	272.57980057867303	277.60377704594475	274.2656941839188	303.57653195952435	286.887968638047	295.19041393737945	325.63509662275743	269.31743151045384	protein_contents_filtered.tsv
Minimum sequence length:	49	49	49	49	49	49	49	49	49	51	49	49	49	49	49	42	37	37	50	49	100	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	protein_contents_filtered.tsv
Maximum sequence length:	5364	5371	5371	5078	5076	4967	4115	5374	4154	5374	9613	5371	5371	5375	5375	5374	5364	5374	5403	5376	5364	5361	5363	5374	5360	5361	5360	5361	5361	5356	5364	5360	5360	5361	5361	5361	5364	5362	5312	5361	5364	5364	5077	5361	5361	5360	5367	5363	5367	5364	5363	5367	5374	5374	5401	5374	5364	protein_contents_filtered.tsv
Median sequence length:	234.0	247.0	262.0	242.0	278.0	208.0	197.0	333.0	265.0	327.0	241.0	273.0	283.0	272.0	267.0	357.0	338.0	346.0	317.0	335.0	267.0	292.0	271.0	337.0	289.0	292.0	287.0	290.0	289.0	288.0	289.0	285.0	287.0	294.0	290.0	289.0	289.0	285.0	289.0	290.0	290.0	287.0	283.0	288.0	292.0	288.5	283.0	288.0	291.0	282.0	289.0	286.0	320.0	306.0	278.0	286.0	224.0	protein_contents_filtered.tsv
N50 sequence index:	13583	14789	13056	13192	13115	13823	13605	10520	22948	10141	27679	24310	24188	11617	24182	11142	11675	24212	15455	11951	14022	12945	13901	19792	12991	12720	12822	12609	12665	12743	12978	12404	12341	12766	12409	12612	12809	12906	12728	12696	12793	12728	13263	12782	12535	12322	12801	12960	12714	12851	12722	12693	11934	12056	19696	21977	13669	protein_contents_filtered.tsv
N50 sequence length:	440	449	483	458	461	408	388	485	455	542	453	472	480	488	477	508	491	501	475	499	451	482	469	555	473	480	474	472	475	476	473	468	472	483	470	470	476	474	481	475	475	480	467	474	478	468	467	472	471	462	471	468	511	488	477	484	440	protein_contents_filtered.tsv
N95 sequence index:	48781	52587	47030	47224	43740	51241	51168	32675	78633	34614	100153	83502	82330	40625	84360	34637	36683	76146	49764	38240	49187	43722	47755	69512	43469	42736	43096	42251	42601	42822	43500	41613	41432	42915	41302	42039	42992	43458	42845	42474	42959	43164	44745	42946	41983	41007	42634	42910	41844	42784	42116	42057	39813	39869	68368	76926	50116	protein_contents_filtered.tsv
N95 sequence length:	107	111	119	110	126	100	97	158	120	152	111	120	124	119	118	177	167	172	156	163	131	135	122	157	135	137	133	135	135	135	133	134	134	138	135	135	135	133	135	136	135	134	133	135	137	134	125	130	132	127	130	128	145	136	125	133	103	protein_contents_filtered.tsv
Complete and single-copy BUSCOs (S)	3972	3503	3961	3993	2049	3010	2438	4164	1152	3609	524	573	522	4093	320	4240	4134	189	3984	3926	3738	4000	4067	331	4017	4064	4007	3975	4014	3969	3873	4024	4036	4035	4015	3985	3970	4043	4055	4015	4039	4050	3754	4004	4020	3999	4104	4090	4073	4061	4067	4093	4136	4125	498	1047	3935
Complete and duplicated BUSCOs (D)	420	711	500	429	1507	280	221	319	3052	372	4011	3962	4022	368	4209	332	433	4394	492	477	392	436	454	4214	445	442	445	439	456	460	558	450	445	438	439	458	433	447	445	455	439	427	566	438	450	438	411	429	437	408	452	417	394	386	3947	3513	416
Fragmented BUSCOs (F)	32	127	36	28	49	225	300	27	58	62	7	7	8	23	5	3	9	1	18	47	59	13	12	4	35	19	21	42	22	35	21	25	21	21	26	20	32	15	11	33	25	16	41	32	26	36	27	30	38	32	27	22	22	23	25	17	41
Missing BUSCOs (M)	172	255	99	146	991	1081	1637	86	334	553	54	54	44	112	62	21	20	12	102	146	407	147	63	47	99	71	123	140	104	132	144	97	94	102	116	133	161	91	85	93	93	103	235	122	100	123	54	47	48	95	50	64	44	62	126	19	204
Complete and single-copy BUSCOs (S) %	86.4	76.2	86.2	86.9	44.6	65.5	53.0	90.6	25.1	78.5	11.4	12.5	11.4	89.1	7.0	92.3	89.9	4.1	86.7	85.4	81.3	87.0	88.5	7.2	87.4	88.4	87.2	86.5	87.3	86.4	84.3	87.6	87.8	87.8	87.4	86.7	86.4	88.0	88.2	87.4	87.9	88.1	81.7	87.1	87.5	87.0	89.3	89.0	88.6	88.4	88.5	89.1	90.0	89.8	10.8	22.8	85.6
Complete and duplicated BUSCOs (D) %	9.1	15.5	10.9	9.3	32.8	6.1	4.8	6.9	66.4	8.1	87.3	86.2	87.5	8.0	91.6	7.2	9.4	95.6	10.7	10.4	8.5	9.5	9.9	91.7	9.7	9.6	9.7	9.6	9.9	10.0	12.1	9.8	9.7	9.5	9.6	10.0	9.4	9.7	9.7	9.9	9.6	9.3	12.3	9.5	9.8	9.5	8.9	9.3	9.5	8.9	9.8	9.1	8.6	8.4	85.9	76.4	9.1
Fragmented BUSCOs (F) %	0.7	2.8	0.8	0.6	1.1	4.9	6.5	0.6	1.3	1.3	0.2	0.2	0.2	0.5	0.1	0.1	0.2	0.0	0.4	1.0	1.3	0.3	0.3	0.1	0.8	0.4	0.5	0.9	0.5	0.8	0.5	0.5	0.5	0.5	0.6	0.4	0.7	0.3	0.2	0.7	0.5	0.3	0.9	0.7	0.6	0.8	0.6	0.7	0.8	0.7	0.6	0.5	0.5	0.5	0.5	0.4	0.9
Missing BUSCOs (M) %	3.7	5.5	2.2	3.2	21.6	23.5	35.6	1.9	7.3	12.0	1.2	1.2	1.0	2.4	1.3	0.5	0.4	0.3	2.2	3.2	8.9	3.2	1.4	1.0	2.2	1.5	2.7	3.0	2.3	2.9	3.1	2.1	2.0	2.2	2.5	2.9	3.5	2.0	1.8	2.0	2.0	2.2	5.1	2.7	2.2	2.7	1.2	1.0	1.0	2.1	1.1	1.4	1.0	1.3	2.7	0.4	4.4
Species	oleracea	nigra	nigra	napus	cretica	cretica	rapa	carinata	rapa	napus	carinata	carinata	rapa	napus	rapa	oleracea	napus	oleracea	rapa	oleracea	oleracea	oleracea	juncea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	oleracea	rapa	rapa	juncea	juncea	oleracea	
Variety	botrytis	nan	nan	nan	nan	nan	nan	nan	trilocularis	nan	nan	nan	nan	nan	nan	oleracea	nan	nan	nan	botrytis	botrytis	italica	nan	capitata	capitata	gongylodes	alboglabra	nan	costata	ramosa	nan	italica	alboglabra	botrytis	nan	nan	nan	nan	nan	gemmifera	nan	viridis	nan	botrytis	nan	nan	nan	nan	nan	nan	nan	chinensis	purpuraria	nan	nan	capitata	
